match_stats_id,match_id,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
2023-580-160-l,2023-580-160,20,16,136,74,58,27,23,7,13
2023-580-161-l,2023-580-161,8,6,79,43,30,13,13,5,10
2023-580-162-l,2023-580-162,8,4,104,57,36,25,17,6,11
2023-580-163-l,2023-580-163,10,1,152,97,72,21,21,9,13
2023-580-164-l,2023-580-164,6,2,102,65,40,18,16,3,8
2023-580-165-l,2023-580-165,1,6,91,73,40,6,13,7,13
2023-580-166-l,2023-580-166,14,2,123,86,57,20,20,4,9
2023-580-167-l,2023-580-167,1,3,97,62,35,18,13,11,16
2023-580-168-l,2023-580-168,5,7,156,98,67,29,23,12,17
2023-580-169-l,2023-580-169,2,5,116,71,41,23,16,3,9
2023-580-170-l,2023-580-170,6,5,95,46,32,20,15,2,8
2023-580-171-l,2023-580-171,0,1,81,53,28,10,14,5,13
2023-580-172-l,2023-580-172,3,0,56,34,17,10,11,3,9
2023-580-173-l,2023-580-173,8,2,86,55,35,17,15,1,5
2023-580-174-l,2023-580-174,5,2,122,71,44,28,19,7,11
2023-580-175-l,2023-580-175,6,1,65,40,24,11,12,0,5
2023-580-176-l,2023-580-176,0,2,139,106,67,12,19,7,13
2023-580-177-l,2023-580-177,8,0,99,72,51,16,19,5,10
2023-580-178-l,2023-580-178,1,3,147,100,56,23,19,8,15
2023-580-179-l,2023-580-179,4,5,121,74,56,21,21,6,11
2023-580-180-l,2023-580-180,9,2,122,79,55,21,19,9,14
2023-580-181-l,2023-580-181,6,5,82,62,36,10,13,5,11
2023-580-182-l,2023-580-182,5,5,121,73,47,22,19,7,13
2023-580-183-l,2023-580-183,10,14,84,47,37,17,16,3,7
2023-580-184-l,2023-580-184,12,2,187,122,87,34,25,17,21
2023-580-185-l,2023-580-185,2,3,123,83,51,19,19,3,9
2023-580-186-l,2023-580-186,4,7,73,35,22,13,11,6,12
2023-580-187-l,2023-580-187,7,2,140,92,53,20,16,14,21
2023-580-188-l,2023-580-188,21,3,176,117,88,31,27,7,11
